ref_date,geo,noc_desc,job_char,predicted_vacancies
01-01-2023,British Columbia,"Natural resources, agriculture and related production occupations",Full-time,4313.309
01-01-2023,British Columbia,Occupations in manufacturing and utilities,"Type of work, all types",5344.259
01-01-2023,British Columbia,Occupations in manufacturing and utilities,Full-time,5800.7983
01-01-2023,Yukon,"Total, all occupations","Type of work, all types",6111.7812
01-01-2023,Yukon,"Total, all occupations",Full-time,6433.875
01-01-2023,Yukon,"Business, finance and administration occupations","Type of work, all types",6712.543
01-01-2023,Yukon,"Business, finance and administration occupations",Full-time,7593.444
01-01-2023,Yukon,Natural and applied sciences and related occupations,Part-time,4278.3384
01-01-2023,Yukon,Sales and service occupations,"Type of work, all types",4278.3384
01-01-2023,Yukon,"Trades, transport and equipment operators and related occupations","Type of work, all types",4278.3384
01-01-2023,Yukon,"Trades, transport and equipment operators and related occupations",Full-time,4278.3384
01-01-2023,Northwest Territories,"Total, all occupations","Type of work, all types",4278.3384
01-01-2023,Northwest Territories,"Total, all occupations",Full-time,4278.3384
01-01-2023,Northwest Territories,"Total, all occupations",Part-time,4278.3384
01-01-2023,Northwest Territories,"Business, finance and administration occupations","Type of work, all types",4278.3384
01-01-2023,Northwest Territories,"Business, finance and administration occupations",Full-time,4278.3384
01-01-2023,Northwest Territories,Sales and service occupations,"Type of work, all types",4278.3384
01-01-2023,Nunavut,"Total, all occupations","Type of work, all types",4278.3384
01-01-2023,Nunavut,"Total, all occupations",Full-time,4278.3384
01-01-2023,Nunavut,"Business, finance and administration occupations","Type of work, all types",4278.3384
01-01-2023,Nunavut,"Business, finance and administration occupations",Full-time,4278.3384
01-01-2023,Nunavut,Sales and service occupations,"Type of work, all types",4278.3384
01-01-2023,Nunavut,Sales and service occupations,Full-time,4278.3384
01-01-2023,Nunavut,"Trades, transport and equipment operators and related occupations",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Total, all occupations","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Total, all occupations",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Total, all occupations",Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,Natural and applied sciences and related occupations,"Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,Health occupations,"Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,Health occupations,Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,Health occupations,Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in education, law and social, community and government services","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,Sales and service occupations,"Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,Sales and service occupations,Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,Sales and service occupations,Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Part-time,4278.3384
04-01-2023,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations","Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",Full-time,4278.3384
04-01-2023,Newfoundland and Labrador,Occupations in manufacturing and utilities,"Type of work, all types",4278.3384
04-01-2023,Newfoundland and Labrador,Occupations in manufacturing and utilities,Full-time,4278.3384
04-01-2023,Prince Edward Island,"Total, all occupations","Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,"Total, all occupations",Full-time,4278.3384
04-01-2023,Prince Edward Island,"Total, all occupations",Part-time,4278.3384
04-01-2023,Prince Edward Island,"Business, finance and administration occupations","Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,"Business, finance and administration occupations",Full-time,4278.3384
04-01-2023,Prince Edward Island,Natural and applied sciences and related occupations,"Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,Natural and applied sciences and related occupations,Full-time,4278.3384
04-01-2023,Prince Edward Island,Health occupations,"Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,Health occupations,Full-time,4278.3384
04-01-2023,Prince Edward Island,Health occupations,Part-time,4278.3384
04-01-2023,Prince Edward Island,"Occupations in education, law and social, community and government services","Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,"Occupations in education, law and social, community and government services",Full-time,4278.3384
04-01-2023,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,4278.3384
04-01-2023,Prince Edward Island,Sales and service occupations,"Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,Sales and service occupations,Full-time,4278.3384
04-01-2023,Prince Edward Island,Sales and service occupations,Part-time,4278.3384
04-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations","Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,4278.3384
04-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,4278.3384
04-01-2023,Prince Edward Island,Occupations in manufacturing and utilities,"Type of work, all types",4278.3384
04-01-2023,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,4278.3384
04-01-2023,Prince Edward Island,Occupations in manufacturing and utilities,Part-time,4278.3384
04-01-2023,Nova Scotia,"Total, all occupations","Type of work, all types",4278.3384
04-01-2023,Nova Scotia,"Total, all occupations",Full-time,4278.3384
04-01-2023,Nova Scotia,"Total, all occupations",Part-time,4278.3384
04-01-2023,Nova Scotia,"Business, finance and administration occupations","Type of work, all types",4278.3384
04-01-2023,Nova Scotia,"Business, finance and administration occupations",Full-time,4278.3384
04-01-2023,Nova Scotia,"Business, finance and administration occupations",Part-time,4278.3384
04-01-2023,Nova Scotia,Natural and applied sciences and related occupations,"Type of work, all types",4278.3384
04-01-2023,Nova Scotia,Natural and applied sciences and related occupations,Full-time,4278.3384
04-01-2023,Nova Scotia,Health occupations,"Type of work, all types",4278.3384
04-01-2023,Nova Scotia,Health occupations,Full-time,4278.3384
04-01-2023,Nova Scotia,Health occupations,Part-time,4278.3384
04-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services","Type of work, all types",4278.3384
04-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,4278.3384
04-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,4278.3384
04-01-2023,Nova Scotia,Sales and service occupations,"Type of work, all types",4278.3384
04-01-2023,Nova Scotia,Sales and service occupations,Full-time,4278.3384
04-01-2023,Nova Scotia,Sales and service occupations,Part-time,4278.3384
04-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations","Type of work, all types",4278.3384
04-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,4278.3384
04-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,4278.3384
04-01-2023,Nova Scotia,"Natural resources, agriculture and related production occupations","Type of work, all types",4278.3384
04-01-2023,Nova Scotia,Occupations in manufacturing and utilities,"Type of work, all types",4278.3384
04-01-2023,Nova Scotia,Occupations in manufacturing and utilities,Full-time,4278.3384
04-01-2023,New Brunswick,"Total, all occupations","Type of work, all types",4278.3384
04-01-2023,New Brunswick,"Total, all occupations",Full-time,4278.3384
04-01-2023,New Brunswick,"Total, all occupations",Part-time,4278.3384
04-01-2023,New Brunswick,"Business, finance and administration occupations","Type of work, all types",4278.3384
