ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,Alberta,Natural and applied sciences and related occupations,"Type of work, all types",3494.822
2023-01-01,Alberta,Natural and applied sciences and related occupations,Full-time,3494.822
2023-01-01,Alberta,Health occupations,"Type of work, all types",3494.822
2023-01-01,Alberta,Health occupations,Full-time,3494.822
2023-01-01,Alberta,Health occupations,Part-time,3494.822
2023-01-01,Alberta,"Occupations in education, law and social, community and government services","Type of work, all types",3494.822
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Full-time,3494.822
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Part-time,3494.822
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport","Type of work, all types",3494.822
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Full-time,3494.822
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Part-time,3494.822
2023-01-01,Alberta,Sales and service occupations,"Type of work, all types",3494.822
2023-01-01,Alberta,Sales and service occupations,Full-time,3494.822
2023-01-01,Alberta,Sales and service occupations,Part-time,3827.619
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations","Type of work, all types",3912.3564
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Full-time,4105.625
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Part-time,4287.7627
2023-01-01,Alberta,"Natural resources, agriculture and related production occupations","Type of work, all types",4588.775
2023-01-01,Alberta,"Natural resources, agriculture and related production occupations",Full-time,4839.3403
2023-01-01,Alberta,Occupations in manufacturing and utilities,"Type of work, all types",3552.792
2023-01-01,Alberta,Occupations in manufacturing and utilities,Full-time,3863.4846
2023-01-01,British Columbia,"Total, all occupations","Type of work, all types",3946.68
2023-01-01,British Columbia,"Total, all occupations",Full-time,4148.567
2023-01-01,British Columbia,"Total, all occupations",Part-time,4324.1816
2023-01-01,British Columbia,Legislative and senior management occupations,"Type of work, all types",4630.306
2023-01-01,British Columbia,Legislative and senior management occupations,Full-time,4918.1216
2023-01-01,British Columbia,"Business, finance and administration occupations","Type of work, all types",3014.3801
2023-01-01,British Columbia,"Business, finance and administration occupations",Full-time,3670.9263
2023-01-01,British Columbia,"Business, finance and administration occupations",Part-time,3918.0032
2023-01-01,British Columbia,Natural and applied sciences and related occupations,"Type of work, all types",4362.1753
2023-01-01,British Columbia,Natural and applied sciences and related occupations,Full-time,4846.9336
2023-01-01,British Columbia,Health occupations,"Type of work, all types",5556.0864
2023-01-01,British Columbia,Health occupations,Full-time,7105.0474
2023-01-01,British Columbia,Health occupations,Part-time,1934.6471
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services","Type of work, all types",1934.6471
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Full-time,1934.6471
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Part-time,1934.6471
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport","Type of work, all types",1934.6471
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Full-time,1934.6471
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Part-time,1934.6471
2023-01-01,British Columbia,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-01,British Columbia,Sales and service occupations,Full-time,1934.6471
2023-01-01,British Columbia,Sales and service occupations,Part-time,1934.6471
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations","Type of work, all types",1934.6471
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Full-time,1934.6471
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Part-time,1934.6471
2023-01-01,British Columbia,"Natural resources, agriculture and related production occupations","Type of work, all types",1934.6471
2023-01-01,British Columbia,"Natural resources, agriculture and related production occupations",Full-time,1934.6471
2023-01-01,British Columbia,Occupations in manufacturing and utilities,"Type of work, all types",1934.6471
2023-01-01,British Columbia,Occupations in manufacturing and utilities,Full-time,1934.6471
2023-01-01,Yukon,"Total, all occupations","Type of work, all types",1934.6471
2023-01-01,Yukon,"Total, all occupations",Full-time,1934.6471
2023-01-01,Yukon,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-01,Yukon,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-01,Yukon,Natural and applied sciences and related occupations,Part-time,1934.6471
2023-01-01,Yukon,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-01,Yukon,"Trades, transport and equipment operators and related occupations","Type of work, all types",1934.6471
2023-01-01,Yukon,"Trades, transport and equipment operators and related occupations",Full-time,1934.6471
2023-01-01,Northwest Territories,"Total, all occupations","Type of work, all types",1934.6471
2023-01-01,Northwest Territories,"Total, all occupations",Full-time,1934.6471
2023-01-01,Northwest Territories,"Total, all occupations",Part-time,1934.6471
2023-01-01,Northwest Territories,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-01,Northwest Territories,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-01,Northwest Territories,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-01,Nunavut,"Total, all occupations","Type of work, all types",1934.6471
2023-01-01,Nunavut,"Total, all occupations",Full-time,1934.6471
2023-01-01,Nunavut,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-01,Nunavut,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-01,Nunavut,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-01,Nunavut,Sales and service occupations,Full-time,1934.6471
2023-01-01,Nunavut,"Trades, transport and equipment operators and related occupations",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Total, all occupations","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Total, all occupations",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Total, all occupations",Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,Natural and applied sciences and related occupations,"Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,Health occupations,"Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,Health occupations,Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,Health occupations,Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Part-time,1934.6471
2023-01-04,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations","Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",Full-time,1934.6471
2023-01-04,Newfoundland and Labrador,Occupations in manufacturing and utilities,"Type of work, all types",1934.6471
2023-01-04,Newfoundland and Labrador,Occupations in manufacturing and utilities,Full-time,1934.6471
2023-01-04,Prince Edward Island,"Total, all occupations","Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,"Total, all occupations",Full-time,1934.6471
2023-01-04,Prince Edward Island,"Total, all occupations",Part-time,1934.6471
2023-01-04,Prince Edward Island,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-04,Prince Edward Island,Natural and applied sciences and related occupations,"Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,Natural and applied sciences and related occupations,Full-time,1934.6471
2023-01-04,Prince Edward Island,Health occupations,"Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,Health occupations,Full-time,1934.6471
2023-01-04,Prince Edward Island,Health occupations,Part-time,1934.6471
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services","Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Full-time,1934.6471
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,1934.6471
2023-01-04,Prince Edward Island,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,Sales and service occupations,Full-time,1934.6471
