ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-04,Manitoba,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-04,Manitoba,Sales and service occupations,Full-time,
2023-01-04,Manitoba,Sales and service occupations,Part-time,679.40985
2023-01-04,Manitoba,"Trades, transport and equipment operators and related occupations",Full-time,670.5019
2023-01-04,Manitoba,"Trades, transport and equipment operators and related occupations",Part-time,658.54974
2023-01-04,Manitoba,"Natural resources, agriculture and related production occupations",Full-time,651.73553
2023-01-04,Manitoba,Occupations in manufacturing and utilities,Full-time,652.2663
2023-01-04,Saskatchewan,"Business, finance and administration occupations",Full-time,652.6606
2023-01-04,Saskatchewan,"Business, finance and administration occupations",Part-time,
2023-01-04,Saskatchewan,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Saskatchewan,"Occupations in education, law and social, community and government services",Full-time,689.4919
2023-01-04,Saskatchewan,"Occupations in education, law and social, community and government services",Part-time,676.28094
2023-01-04,Saskatchewan,"Occupations in art, culture, recreation and sport",Part-time,658.17523
2023-01-04,Saskatchewan,Sales and service occupations,Full-time,
2023-01-04,Saskatchewan,Sales and service occupations,Part-time,
2023-01-04,Saskatchewan,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,Saskatchewan,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-04,Saskatchewan,"Natural resources, agriculture and related production occupations",Full-time,
2023-01-04,Saskatchewan,Occupations in manufacturing and utilities,Full-time,796.83466
2023-01-04,Alberta,"Business, finance and administration occupations",Full-time,781.7714
2023-01-04,Alberta,"Business, finance and administration occupations",Part-time,775.5424
2023-01-04,Alberta,Natural and applied sciences and related occupations,Full-time,773.924
2023-01-04,Alberta,Health occupations,Full-time,773.79877
2023-01-04,Alberta,Health occupations,Part-time,772.5827
2023-01-04,Alberta,"Occupations in education, law and social, community and government services",Full-time,762.51215
2023-01-04,Alberta,"Occupations in education, law and social, community and government services",Part-time,741.16327
2023-01-04,Alberta,"Occupations in art, culture, recreation and sport",Full-time,445.47238
2023-01-04,Alberta,"Occupations in art, culture, recreation and sport",Part-time,462.20187
2023-01-04,Alberta,Sales and service occupations,Full-time,454.59103
2023-01-04,Alberta,Sales and service occupations,Part-time,463.81418
2023-01-04,Alberta,"Trades, transport and equipment operators and related occupations",Full-time,469.1252
2023-01-04,Alberta,"Trades, transport and equipment operators and related occupations",Part-time,478.81467
2023-01-04,Alberta,"Natural resources, agriculture and related production occupations",Full-time,
2023-01-04,Alberta,Occupations in manufacturing and utilities,Full-time,
2023-01-04,British Columbia,Legislative and senior management occupations,Full-time,441.98117
2023-01-04,British Columbia,"Business, finance and administration occupations",Full-time,459.8071
2023-01-04,British Columbia,"Business, finance and administration occupations",Part-time,452.21506
2023-01-04,British Columbia,Natural and applied sciences and related occupations,Full-time,
2023-01-04,British Columbia,Health occupations,Full-time,
